Time,CPU Usage (%),Memory Usage (%),GPU Utilization (%),GPU Memory Usage (%)
2024-12-17 11:49:41,14.9,76.5,61,68
2024-12-17 11:49:48,13.3,77.3,47,73
2024-12-17 11:49:55,9.1,76.9,28,45
2024-12-17 11:50:02,14.7,76.7,2,7
2024-12-17 11:50:10,12.0,77.3,21,77
2024-12-18 12:05:38,13.6,72.9,13,41
2024-12-18 12:05:46,11.5,73.8,51,41
2024-12-18 12:05:53,11.6,73.4,15,1
2024-12-18 12:06:00,12.2,74.4,51,28
2024-12-18 12:06:07,10.5,73.0,49,11
2024-12-18 12:07:34,0.0,74.8,45,39
2024-12-18 12:07:42,13.0,76.0,36,21
2024-12-18 12:07:49,10.5,74.5,26,51
2024-12-18 12:07:56,10.3,74.9,38,27
2024-12-18 12:08:03,8.0,74.1,13,58
2024-12-18 12:15:16,14.5,78.7,9,22
2024-12-18 12:15:19,17.3,78.4,64,47
2024-12-18 12:15:22,12.4,78.7,57,69
2024-12-18 12:15:24,13.3,78.8,8,57
2024-12-18 12:15:25,0.0,79.1,17,66
2024-12-18 12:15:27,13.7,79.0,22,38
2024-12-18 12:15:30,8.7,78.7,42,42
2024-12-18 12:15:33,9.8,78.8,54,61
2024-12-18 12:15:35,11.3,79.1,16,54
2024-12-18 12:16:55,17.2,79.6,6,43
2024-12-18 12:16:58,15.6,79.5,57,79
2024-12-18 12:16:58,0.0,79.5,26,74
2024-12-18 12:17:01,12.1,79.3,15,57
2024-12-18 12:17:03,8.2,79.0,56,18
2024-12-18 12:17:06,9.5,78.8,49,46
2024-12-18 12:17:08,10.3,79.0,53,32
2024-12-18 12:20:01,16.5,78.8,44,8
2024-12-18 12:20:09,12.2,78.6,65,55
2024-12-18 12:21:01,22.4,78.2,70,37
2024-12-18 12:21:04,16.2,78.3,36,22
2024-12-18 12:21:05,0.0,78.9,51,55
2024-12-18 12:21:07,12.9,78.2,40,70
2024-12-18 12:21:10,14.6,78.1,69,45
2024-12-18 12:21:12,12.7,78.1,67,32
2024-12-18 12:21:15,13.0,78.0,20,11
